time,sc_pdsi
1677-01-01,0.27
1678-01-01,2.69
1679-01-01,1.62
1680-01-01,-1.94
1681-01-01,-2.15
1682-01-01,-0.28
1683-01-01,1.88
1684-01-01,-0.94
1685-01-01,-1.27
1686-01-01,0.07
1687-01-01,2.92
1688-01-01,0.74
1689-01-01,-0.61
1690-01-01,1.14
1691-01-01,2.01
1692-01-01,-2.94
1693-01-01,-3.25
1694-01-01,-1.11
1695-01-01,-1.06
1696-01-01,1.5
1697-01-01,-0.59
1698-01-01,-1.66
1699-01-01,-0.66
1700-01-01,-1.0
1701-01-01,-2.49
1702-01-01,-1.35
1703-01-01,-1.34
1704-01-01,0.62
1705-01-01,2.07
1706-01-01,-1.84
1707-01-01,0.89
1708-01-01,-1.82
1709-01-01,-3.56
1710-01-01,-2.61
1711-01-01,-2.42
1712-01-01,-0.28
1713-01-01,0.7
1714-01-01,-0.85
1715-01-01,0.28
1716-01-01,-0.78
1717-01-01,1.4
1718-01-01,-1.45
1719-01-01,-1.32
1720-01-01,-1.19
1721-01-01,1.78
1722-01-01,0.91
1723-01-01,0.72
1724-01-01,1.76
1725-01-01,0.52
1726-01-01,-1.27
1727-01-01,-1.0
1728-01-01,0.58
1729-01-01,-0.03
1730-01-01,1.88
1731-01-01,4.57
1732-01-01,4.15
1733-01-01,1.04
1734-01-01,0.54
1735-01-01,-0.63
1736-01-01,1.71
1737-01-01,-0.5
1738-01-01,-0.64
1739-01-01,-1.18
1740-01-01,3.56
1741-01-01,4.54
1742-01-01,0.84
1743-01-01,1.37
1744-01-01,-0.4
1745-01-01,1.86
1746-01-01,-2.32
1747-01-01,-1.05
1748-01-01,1.47
1749-01-01,2.93
1750-01-01,1.33
1751-01-01,-3.02
1752-01-01,0.28
1753-01-01,1.24
1754-01-01,3.28
1755-01-01,0.05
1756-01-01,-0.34
1757-01-01,-0.54
1758-01-01,-0.31
1759-01-01,-1.46
1760-01-01,-0.89
1761-01-01,0.21
1762-01-01,-0.21
1763-01-01,0.83
1764-01-01,-1.46
