time,sc_pdsi
1676-01-01,-2.68
1677-01-01,1.55
1678-01-01,1.33
1679-01-01,-0.9
1680-01-01,-1.4
1681-01-01,-1.29
1682-01-01,-1.28
1683-01-01,0.54
1684-01-01,0.89
1685-01-01,2.22
1686-01-01,-1.24
1687-01-01,0.49
1688-01-01,1.05
1689-01-01,0.78
1690-01-01,1.17
1691-01-01,0.44
1692-01-01,-2.05
1693-01-01,-0.42
1694-01-01,-0.31
1695-01-01,-0.74
1696-01-01,0.56
1697-01-01,0.87
1698-01-01,-0.87
1699-01-01,-0.74
1700-01-01,-1.93
1701-01-01,-2.94
1702-01-01,-0.92
1703-01-01,0.19
1704-01-01,0.21
1705-01-01,-0.31
1706-01-01,-0.48
1707-01-01,0.51
1708-01-01,-2.33
1709-01-01,-1.2
1710-01-01,-3.3
1711-01-01,-1.64
1712-01-01,0.63
1713-01-01,-1.52
1714-01-01,0.87
1715-01-01,0.81
1716-01-01,2.15
1717-01-01,0.94
1718-01-01,-5.42
1719-01-01,-1.11
1720-01-01,-2.44
1721-01-01,1.39
1722-01-01,-1.17
1723-01-01,0.53
1724-01-01,2.92
1725-01-01,1.56
1726-01-01,-0.28
1727-01-01,-1.4
1728-01-01,5.53
1729-01-01,-1.51
1730-01-01,1.91
1731-01-01,0.65
1732-01-01,0.77
1733-01-01,-0.65
1734-01-01,1.24
1735-01-01,-0.04
1736-01-01,0.33
1737-01-01,0.38
1738-01-01,1.51
1739-01-01,0.45
1740-01-01,2.47
1741-01-01,-0.29
1742-01-01,1.06
1743-01-01,1.48
1744-01-01,-0.77
1745-01-01,0.07
1746-01-01,-1.22
1747-01-01,-2.48
1748-01-01,1.37
1749-01-01,2.96
1750-01-01,0.23
1751-01-01,0.35
1752-01-01,-0.64
1753-01-01,-2.09
1754-01-01,0.26
1755-01-01,1.16
1756-01-01,0.74
1757-01-01,1.01
1758-01-01,-0.23
1759-01-01,-0.74
1760-01-01,0.81
1761-01-01,1.0
1762-01-01,-0.05
1763-01-01,-0.8
1764-01-01,-1.82
1765-01-01,-1.5
1766-01-01,-0.25
1767-01-01,-0.14
1768-01-01,0.5
1769-01-01,0.59
1770-01-01,-1.63
1771-01-01,-0.76
1772-01-01,-0.42
1773-01-01,1.53
1774-01-01,-0.46
1775-01-01,0.55
1776-01-01,0.32
1777-01-01,1.9
1778-01-01,1.7
1779-01-01,0.41
1780-01-01,1.78
1781-01-01,0.6
1782-01-01,-1.61
1783-01-01,1.07
1784-01-01,-1.61
1785-01-01,-1.14
1786-01-01,0.83
1787-01-01,1.28
1788-01-01,-2.07
1789-01-01,0.2
1790-01-01,0.65
1791-01-01,-1.96
1792-01-01,-1.86
1793-01-01,-0.49
1794-01-01,-0.2
1795-01-01,0.16
