time,tasmin,tasmax,pr
2060-01-01,21.8,26.66,3.55
2060-01-02,21.55,27.62,0.03
2060-01-03,22.86,29.58,0.06
2060-01-04,23.6,30.62,4.19
2060-01-05,22.94,28.21,98.68
2060-01-06,23.2,28.94,0.74
2060-01-07,20.82,27.73,0.91
2060-01-08,20.0,24.76,0.06
2060-01-09,19.33,24.26,0.0
2060-01-10,19.23,25.1,0.0
2060-01-11,18.84,26.18,0.0
2060-01-12,20.4,26.98,0.03
2060-01-13,19.4,27.3,0.07
2060-01-14,19.9,29.11,0.0
2060-01-15,24.82,31.11,0.34
2060-01-16,23.44,28.08,0.27
2060-01-17,20.56,27.75,0.0
2060-01-18,22.08,30.38,0.0
2060-01-19,23.75,32.46,0.44
2060-01-20,24.32,30.14,20.17
2060-01-21,24.13,30.77,10.11
2060-01-22,23.74,29.08,8.38
2060-01-23,23.11,29.27,5.57
2060-01-24,23.95,29.59,0.16
2060-01-25,25.33,29.69,1.42
2060-01-26,24.61,29.77,0.03
2060-01-27,24.34,31.19,0.24
2060-01-28,24.05,30.75,0.0
2060-01-29,23.81,30.34,0.0
2060-01-30,24.05,30.75,0.0
2060-01-31,23.83,30.79,0.0
2060-02-01,21.96,29.84,0.0
2060-02-02,23.29,30.9,0.0
2060-02-03,24.37,33.17,0.0
2060-02-04,24.62,31.16,0.0
2060-02-05,23.4,30.0,0.0
2060-02-06,23.98,29.98,0.0
2060-02-07,22.74,29.91,0.0
2060-02-08,23.59,30.25,1.03
2060-02-09,23.98,30.5,2.72
2060-02-10,24.51,29.75,0.16
2060-02-11,24.4,29.54,4.36
2060-02-12,22.72,29.21,0.08
2060-02-13,25.76,29.65,1.22
2060-02-14,25.47,29.83,0.02
2060-02-15,23.12,29.84,0.0
2060-02-16,21.77,30.83,2.03
2060-02-17,22.01,26.53,8.71
2060-02-18,24.17,29.07,6.43
2060-02-19,25.97,30.91,0.75
2060-02-20,24.8,31.11,0.61
2060-02-21,22.04,30.34,0.01
2060-02-22,22.56,30.14,0.0
2060-02-23,22.56,30.49,0.02
2060-02-24,25.07,30.27,0.26
2060-02-25,24.38,30.42,0.17
2060-02-26,24.8,30.92,0.43
2060-02-27,23.54,30.49,0.07
2060-02-28,24.76,30.89,16.46
2060-02-29,23.66,27.49,5.23
2060-03-01,24.28,27.7,8.19
2060-03-02,23.69,28.32,0.09
2060-03-03,22.8,27.23,0.98
2060-03-04,23.12,27.22,11.02
2060-03-05,21.66,27.28,0.4
2060-03-06,19.46,27.14,0.01
2060-03-07,19.97,27.25,0.01
2060-03-08,21.11,27.48,0.03
2060-03-09,20.99,28.02,0.63
2060-03-10,23.03,28.03,3.04
2060-03-11,23.62,29.15,5.11
2060-03-12,23.51,29.41,13.95
2060-03-13,23.06,29.75,1.27
2060-03-14,23.7,29.74,0.01
2060-03-15,24.12,29.37,0.0
2060-03-16,25.05,29.25,3.6
2060-03-17,26.07,29.25,22.29
2060-03-18,26.12,29.56,9.83
2060-03-19,26.71,29.17,6.92
2060-03-20,26.01,29.08,1.19
2060-03-21,24.41,29.56,0.95
2060-03-22,24.01,29.74,8.85
2060-03-23,22.81,29.14,10.41
2060-03-24,22.86,28.88,4.44
2060-03-25,22.43,29.36,0.85
2060-03-26,22.82,29.31,0.05
2060-03-27,23.71,30.05,2.31
2060-03-28,24.11,30.29,26.49
2060-03-29,23.03,27.61,6.5
2060-03-30,21.76,28.33,17.0
2060-03-31,23.94,29.7,7.77
2060-04-01,20.53,33.0,0.31
2060-04-02,21.99,28.93,8.79
2060-04-03,20.63,28.51,25.87
2060-04-04,20.43,26.94,15.86
2060-04-05,21.73,27.25,3.34
